pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
Unknown,12.45,5,19,6,2014-05-16 19:45:00,41.89250778,-87.63330804,41.89321636,-87.63415609,0.0,Unknown,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,0.0,Unknown,0.0
Unknown,0.0,3,19,5,2013-03-07 19:15:00,41.89250778,-87.63330804,41.89321636,-87.63415609,0.0,Unknown,Unknown,Chicago Elite Cab Corp.,300.0,Unknown,0.0
60.0,27.05,10,2,3,2013-10-01 02:15:00,41.83615016,-87.64878795,41.89321636,-87.63415609,12.6,Unknown,Cash,Taxi Affiliation Services,1380.0,Unknown,0.0
10.0,5.85,10,1,2,2013-10-21 01:30:00,41.9850151,-87.80453201,41.89321636,-87.63415609,0.0,Unknown,Cash,Taxi Affiliation Services,180.0,Unknown,0.0
14.0,16.65,5,7,5,2013-05-30 07:00:00,41.968069,-87.72155906,41.89321636,-87.63415609,0.0,Unknown,Cash,Dispatch Taxi Affiliation,1080.0,Unknown,0.0
13.0,16.45,11,12,3,2015-11-03 12:45:00,41.98363631,-87.72358319,41.89321636,-87.63415609,6.9,Unknown,Cash,Unknown,780.0,Unknown,0.0
16.0,32.05,12,1,1,2014-12-07 01:45:00,41.95358213,-87.72345239,41.89321636,-87.63415609,15.4,Unknown,Cash,Unknown,1200.0,Unknown,0.0
30.0,38.45,10,10,5,2015-10-08 10:45:00,41.83908691,-87.71400381,41.89321636,-87.63415609,14.6,Unknown,Cash,Unknown,2580.0,Unknown,0.0
11.0,14.65,1,1,3,2013-01-15 01:30:00,41.97882953,-87.7711667,41.89321636,-87.63415609,5.81,Unknown,Cash,Unknown,1080.0,Unknown,0.0
33.0,3.25,5,17,1,2013-05-19 17:45:00,41.84924675,-87.6241353,41.89321636,-87.63415609,0.0,Unknown,Cash,Taxi Affiliation Services,0.0,Unknown,0.0
19.0,47.65,6,15,4,2013-06-26 15:00:00,41.92726096,-87.76550161,41.89321636,-87.63415609,0.0,Unknown,Cash,Taxi Affiliation Services,3480.0,Unknown,0.0
25.0,6.85,3,9,6,2015-03-13 09:45:00,41.89060885,-87.75604671,41.89321636,-87.63415609,2.0,Unknown,Cash,Unknown,420.0,Unknown,0.0
13.0,14.45,6,7,1,2014-06-22 07:15:00,41.98363631,-87.72358319,41.89321636,-87.63415609,5.3,Unknown,Cash,Unknown,1020.0,Unknown,0.0
33.0,9.85,6,11,6,2013-06-21 11:00:00,41.84924675,-87.6241353,41.89321636,-87.63415609,2.81,Unknown,Credit Card,Unknown,840.0,Unknown,3.0
25.0,3.05,2,6,2,2013-02-11 06:45:00,41.89060885,-87.75604671,41.89321636,-87.63415609,0.4,Unknown,Cash,Unknown,120.0,Unknown,0.0
18.0,20.85,12,17,4,2013-12-11 17:15:00,41.92929737,-87.79803218,41.89321636,-87.63415609,6.3,Unknown,Cash,Unknown,2100.0,Unknown,0.0
8.0,8.05,10,18,7,2013-10-19 18:45:00,41.90741282,-87.64090153,41.89321636,-87.63415609,1.63,Unknown,Cash,Unknown,840.0,Unknown,0.0
32.0,6.85,4,13,6,2014-04-11 13:15:00,41.87101588,-87.63140653,41.89321636,-87.63415609,2.1,Unknown,Cash,Taxi Affiliation Services,240.0,Unknown,0.0
2.0,0.0,11,0,7,2015-11-28 00:15:00,42.00157103,-87.69501259,41.89321636,-87.63415609,0.0,Unknown,Cash,Blue Ribbon Taxi Association Inc.,0.0,Unknown,0.0
3.0,12.25,8,19,5,2013-08-01 19:15:00,41.95815488,-87.65302179,41.89321636,-87.63415609,4.51,Unknown,Cash,Unknown,600.0,Unknown,0.0
